【央视】,#genre#
潍坊TV-2,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
滨州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营新闻,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济南科教,http://150.138.8.143/00/SNM/CHANNEL00000245/index.m3u8
聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城公共,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
日照新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
威海公共-2,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
烟台新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://150.138.8.143/00/SNM/CHANNEL00000295/index.m3u8
青岛QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
